unit,rmspe_ratio,rank,p_val,n,outcome,treated,CT
AT,4.45282190398466,6,0.2608695652173913,48,DAA,ES,FALSE
BE,2.72610402008841,14,0.6086956521739131,48,DAA,ES,FALSE
BG,1.39757444899588,22,0.9565217391304348,48,DAA,ES,FALSE
CZ,6.38166202747483,3,0.13043478260869565,48,DAA,ES,FALSE
DE,36.5813583644053,9,0.391304347826087,48,DAA,ES,FALSE
DK,4.09303338115284,8,0.34782608695652173,48,DAA,ES,FALSE
EE,17.2319491177567,16,0.6956521739130435,48,DAA,ES,FALSE
ES,16.1253292267004,17,0.7391304347826086,48,DAA,ES,FALSE
FI,2.73437990642401,13,0.5652173913043478,48,DAA,ES,FALSE
GR,2.5120549640167,15,0.6521739130434783,48,DAA,ES,FALSE
HR,11.0211575092039,20,0.8695652173913043,48,DAA,ES,FALSE
HU,4.80396490181435,5,0.21739130434782608,48,DAA,ES,FALSE
IT,2.77496005318063,12,0.5217391304347826,48,DAA,ES,FALSE
LT,11.1853942195912,19,0.8260869565217391,48,DAA,ES,FALSE
LU,35.217031975407,10,0.43478260869565216,48,DAA,ES,FALSE
LV,10.5082656575029,21,0.9130434782608695,48,DAA,ES,FALSE
NL,4.23175813272445,7,0.30434782608695654,48,DAA,ES,FALSE
NO,3.32106072579744,11,0.4782608695652174,48,DAA,ES,FALSE
PL,6.86326358968882,2,0.08695652173913043,48,DAA,ES,FALSE
RO,0.21354698035372,23,1,48,DAA,ES,FALSE
SE,5.57397946642001,4,0.17391304347826086,48,DAA,ES,FALSE
SI,11.6716906670598,18,0.782608695652174,48,DAA,ES,FALSE
SK,7.51958258708616,1,0.043478260869565216,48,DAA,ES,FALSE
AT,1.31943925684439,23,0.9583333333333334,48,CP00,ES,FALSE
BE,2.11051140307848,17,0.7083333333333334,48,CP00,ES,FALSE
BG,1.93831864781277,20,0.8333333333333334,48,CP00,ES,FALSE
CZ,5.50773262576434,7,0.2916666666666667,48,CP00,ES,FALSE
DE,2.72974872726995,14,0.5833333333333334,48,CP00,ES,FALSE
DK,3.59392681282332,11,0.4583333333333333,48,CP00,ES,FALSE
EE,2.82088822784488,13,0.5416666666666666,48,CP00,ES,FALSE
GR,1.44173132958753,21,0.875,48,CP00,ES,FALSE
ES,11.0161113485796,19,0.7916666666666666,48,CP00,ES,FALSE
FI,6.9417118589036,4,0.16666666666666666,48,CP00,ES,FALSE
HR,3.62332331832481,10,0.4166666666666667,48,CP00,ES,FALSE
HU,5.67884855237383,5,0.20833333333333334,48,CP00,ES,FALSE
IE,1.32806177774506,22,0.9166666666666666,48,CP00,ES,FALSE
IT,7.11446037822056,3,0.125,48,CP00,ES,FALSE
LT,2.20023652747131,16,0.6666666666666666,48,CP00,ES,FALSE
LU,8.17809199726328,2,0.08333333333333333,48,CP00,ES,FALSE
LV,8.63431350827414,1,0.041666666666666664,48,CP00,ES,FALSE
NL,3.44942049266993,12,0.5,48,CP00,ES,FALSE
NO,5.53733976477399,6,0.25,48,CP00,ES,FALSE
PL,1.01842881577382,24,1,48,CP00,ES,FALSE
RO,11.7379622879272,18,0.75,48,CP00,ES,FALSE
SE,5.37912768087415,8,0.3333333333333333,48,CP00,ES,FALSE
SI,2.61149709790229,15,0.625,48,CP00,ES,FALSE
SK,3.69406268384698,9,0.375,48,CP00,ES,FALSE
AT,4.80000783041032,13,0.5416666666666666,48,GD,ES,FALSE
BE,2.65479076740187,19,0.7916666666666666,48,GD,ES,FALSE
BG,4.9358584310547,11,0.4583333333333333,48,GD,ES,FALSE
CZ,3.04290575810928,17,0.7083333333333334,48,GD,ES,FALSE
DE,1.71904712524984,23,0.9583333333333334,48,GD,ES,FALSE
DK,4.72412617500832,14,0.5833333333333334,48,GD,ES,FALSE
EE,2.84964993549249,18,0.75,48,GD,ES,FALSE
GR,5.5115011866655,8,0.3333333333333333,48,GD,ES,FALSE
ES,7.74289637974039,3,0.125,48,GD,ES,FALSE
FI,7.15405768440102,4,0.16666666666666666,48,GD,ES,FALSE
HR,4.42348820355767,15,0.625,48,GD,ES,FALSE
HU,8.29399079128995,1,0.041666666666666664,48,GD,ES,FALSE
IE,1.46660177761008,24,1,48,GD,ES,FALSE
IT,5.24954863971162,9,0.375,48,GD,ES,FALSE
LT,5.12826362496823,10,0.4166666666666667,48,GD,ES,FALSE
LU,6.49582055827555,5,0.20833333333333334,48,GD,ES,FALSE
LV,7.96419544406759,2,0.08333333333333333,48,GD,ES,FALSE
NL,3.52356395698708,16,0.6666666666666666,48,GD,ES,FALSE
NO,5.57294759522585,7,0.2916666666666667,48,GD,ES,FALSE
PL,5.97953314935338,6,0.25,48,GD,ES,FALSE
RO,16.1977889885804,20,0.8333333333333334,48,GD,ES,FALSE
SE,4.86099522616596,12,0.5,48,GD,ES,FALSE
SI,1.76161499864379,22,0.9166666666666666,48,GD,ES,FALSE
SK,1.80736169561942,21,0.875,48,GD,ES,FALSE
AT,1.03632140147351,22,0.9166666666666666,48,SERV,ES,FALSE
BE,4.13690530318055,9,0.375,48,SERV,ES,FALSE
BG,1.43155618210697,19,0.7916666666666666,48,SERV,ES,FALSE
CZ,3.69317884507015,11,0.4583333333333333,48,SERV,ES,FALSE
DE,5.64960778557833,4,0.16666666666666666,48,SERV,ES,FALSE
DK,2.43578311288567,16,0.6666666666666666,48,SERV,ES,FALSE
EE,2.48686645865087,15,0.625,48,SERV,ES,FALSE
GR,0.776988893046127,23,0.9583333333333334,48,SERV,ES,FALSE
ES,3.15378410017719,13,0.5416666666666666,48,SERV,ES,FALSE
FI,4.29848272789349,8,0.3333333333333333,48,SERV,ES,FALSE
HR,6.03576741253216,3,0.125,48,SERV,ES,FALSE
HU,9.94064962516231,1,0.041666666666666664,48,SERV,ES,FALSE
IE,4.7620748418408,6,0.25,48,SERV,ES,FALSE
IT,5.02287105662408,5,0.20833333333333334,48,SERV,ES,FALSE
LT,0.715545344037505,24,1,48,SERV,ES,FALSE
LU,9.01261496141888,2,0.08333333333333333,48,SERV,ES,FALSE
LV,3.36152575839889,12,0.5,48,SERV,ES,FALSE
NL,1.63148159682573,18,0.75,48,SERV,ES,FALSE
NO,3.98898033048544,10,0.4166666666666667,48,SERV,ES,FALSE
PL,1.64193650472821,17,0.7083333333333334,48,SERV,ES,FALSE
RO,4.35098577893144,7,0.2916666666666667,48,SERV,ES,FALSE
SE,2.62993805231924,14,0.5833333333333334,48,SERV,ES,FALSE
SI,1.35172942523158,20,0.8333333333333334,48,SERV,ES,FALSE
SK,1.31477506658793,21,0.875,48,SERV,ES,FALSE
AT,3.5080065851915,15,0.625,48,IGD,ES,FALSE
BE,1.99319921347382,19,0.7916666666666666,48,IGD,ES,FALSE
BG,4.91135087684951,11,0.4583333333333333,48,IGD,ES,FALSE
CZ,2.4725143360843,17,0.7083333333333334,48,IGD,ES,FALSE
DE,1.95342464380642,20,0.8333333333333334,48,IGD,ES,FALSE
DK,5.05333526169755,9,0.375,48,IGD,ES,FALSE
EE,5.21949096728862,8,0.3333333333333333,48,IGD,ES,FALSE
GR,4.39167889935917,12,0.5,48,IGD,ES,FALSE
ES,7.41517966441269,5,0.20833333333333334,48,IGD,ES,FALSE
FI,5.81204950426032,6,0.25,48,IGD,ES,FALSE
HR,2.43413611846464,18,0.75,48,IGD,ES,FALSE
HU,9.60076874518772,1,0.041666666666666664,48,IGD,ES,FALSE
IE,1.08267857873849,23,0.9583333333333334,48,IGD,ES,FALSE
IT,7.6785693078888,4,0.16666666666666666,48,IGD,ES,FALSE
LT,8.05741515448999,3,0.125,48,IGD,ES,FALSE
LU,3.85698868114583,14,0.5833333333333334,48,IGD,ES,FALSE
LV,9.08171297504365,2,0.08333333333333333,48,IGD,ES,FALSE
NL,5.51171461762867,7,0.2916666666666667,48,IGD,ES,FALSE
NO,0.342607776835998,24,1,48,IGD,ES,FALSE
PL,1.13925670678449,22,0.9166666666666666,48,IGD,ES,FALSE
RO,4.97991048602267,10,0.4166666666666667,48,IGD,ES,FALSE
SE,4.02765660780995,13,0.5416666666666666,48,IGD,ES,FALSE
SI,1.69925678895584,21,0.875,48,IGD,ES,FALSE
SK,3.09353806776558,16,0.6666666666666666,48,IGD,ES,FALSE
AT,1.01598913492722,22,0.9166666666666666,48,FOOD,ES,FALSE
BE,3.39316725881073,7,0.2916666666666667,48,FOOD,ES,FALSE
BG,1.85467078204062,17,0.7083333333333334,48,FOOD,ES,FALSE
CZ,9.97930185087768,1,0.041666666666666664,48,FOOD,ES,FALSE
DE,2.93925714032919,9,0.375,48,FOOD,ES,FALSE
DK,3.02204246621216,8,0.3333333333333333,48,FOOD,ES,FALSE
EE,1.69265217837158,19,0.7916666666666666,48,FOOD,ES,FALSE
GR,0.662707315792237,24,1,48,FOOD,ES,FALSE
ES,1.22542021743584,20,0.8333333333333334,48,FOOD,ES,FALSE
FI,1.16487773873596,21,0.875,48,FOOD,ES,FALSE
HR,3.39348915778023,6,0.25,48,FOOD,ES,FALSE
HU,2.84762563824444,10,0.4166666666666667,48,FOOD,ES,FALSE
IE,1.73303840463623,18,0.75,48,FOOD,ES,FALSE
IT,2.55583237538046,12,0.5,48,FOOD,ES,FALSE
LT,2.57617019158711,11,0.4583333333333333,48,FOOD,ES,FALSE
LU,7.6775045215282,3,0.125,48,FOOD,ES,FALSE
LV,2.54223757835888,13,0.5416666666666666,48,FOOD,ES,FALSE
NL,2.50853512660394,14,0.5833333333333334,48,FOOD,ES,FALSE
NO,0.877219613498083,23,0.9583333333333334,48,FOOD,ES,FALSE
PL,5.24316140717412,4,0.16666666666666666,48,FOOD,ES,FALSE
RO,8.59774746604601,2,0.08333333333333333,48,FOOD,ES,FALSE
SE,3.90007741803,5,0.20833333333333334,48,FOOD,ES,FALSE
SI,2.47472512131287,15,0.625,48,FOOD,ES,FALSE
SK,2.0758575502126,16,0.6666666666666666,48,FOOD,ES,FALSE
AT,17.4704395911629,20,0.8333333333333334,48,NRG,ES,FALSE
BE,2.58773335644886,16,0.6666666666666666,48,NRG,ES,FALSE
BG,9.58091886141087,1,0.041666666666666664,48,NRG,ES,FALSE
CZ,4.07145168974435,10,0.4166666666666667,48,NRG,ES,FALSE
DE,5.74285368156434,6,0.25,48,NRG,ES,FALSE
DK,3.76443724213082,11,0.4583333333333333,48,NRG,ES,FALSE
EE,4.43106361544958,8,0.3333333333333333,48,NRG,ES,FALSE
GR,14.1531309337618,21,0.875,48,NRG,ES,FALSE
ES,10.599096686111,22,0.9166666666666666,48,NRG,ES,FALSE
FI,8.67886494052393,2,0.08333333333333333,48,NRG,ES,FALSE
HR,2.01441357380594,18,0.75,48,NRG,ES,FALSE
HU,4.2561059523717,9,0.375,48,NRG,ES,FALSE
IE,8.09323222547763,3,0.125,48,NRG,ES,FALSE
IT,19.9983465868317,19,0.7916666666666666,48,NRG,ES,FALSE
LT,6.57360019297815,4,0.16666666666666666,48,NRG,ES,FALSE
LU,3.11246350996057,13,0.5416666666666666,48,NRG,ES,FALSE
LV,10.0812197780945,23,0.9583333333333334,48,NRG,ES,FALSE
NL,3.44060176303689,12,0.5,48,NRG,ES,FALSE
NO,0.708995308029281,24,1,48,NRG,ES,FALSE
PL,2.85872478930891,14,0.5833333333333334,48,NRG,ES,FALSE
RO,5.87217432042636,5,0.20833333333333334,48,NRG,ES,FALSE
SE,4.70174377611965,7,0.2916666666666667,48,NRG,ES,FALSE
SI,2.73663855520846,15,0.625,48,NRG,ES,FALSE
SK,2.09278098045402,17,0.7083333333333334,48,NRG,ES,FALSE
AT,1.488387299672,12,0.5,48,IGD_NNRG,ES,FALSE
BE,0.887833036400184,20,0.8333333333333334,48,IGD_NNRG,ES,FALSE
BG,1.18385841240768,15,0.625,48,IGD_NNRG,ES,FALSE
CZ,1.75961061500568,9,0.375,48,IGD_NNRG,ES,FALSE
DE,1.55072604053558,11,0.4583333333333333,48,IGD_NNRG,ES,FALSE
DK,0.648908545119156,23,0.9583333333333334,48,IGD_NNRG,ES,FALSE
EE,3.40521769514481,2,0.08333333333333333,48,IGD_NNRG,ES,FALSE
GR,1.57336184726498,10,0.4166666666666667,48,IGD_NNRG,ES,FALSE
ES,1.46206947394808,13,0.5416666666666666,48,IGD_NNRG,ES,FALSE
FI,3.48426289129905,1,0.041666666666666664,48,IGD_NNRG,ES,FALSE
HR,2.54533072238422,7,0.2916666666666667,48,IGD_NNRG,ES,FALSE
HU,12.1172423666879,8,0.3333333333333333,48,IGD_NNRG,ES,FALSE
IE,1.30139734537076,14,0.5833333333333334,48,IGD_NNRG,ES,FALSE
IT,1.06567969179826,17,0.7083333333333334,48,IGD_NNRG,ES,FALSE
LT,1.09186467503675,16,0.6666666666666666,48,IGD_NNRG,ES,FALSE
LU,0.939922198858897,19,0.7916666666666666,48,IGD_NNRG,ES,FALSE
LV,1.00430630099589,18,0.75,48,IGD_NNRG,ES,FALSE
NL,2.60428112134133,6,0.25,48,IGD_NNRG,ES,FALSE
NO,0.514352119103975,24,1,48,IGD_NNRG,ES,FALSE
PL,2.94989981110508,4,0.16666666666666666,48,IGD_NNRG,ES,FALSE
RO,0.839045264333605,22,0.9166666666666666,48,IGD_NNRG,ES,FALSE
SE,2.86449027268677,5,0.20833333333333334,48,IGD_NNRG,ES,FALSE
SI,3.12397308626391,3,0.125,48,IGD_NNRG,ES,FALSE
SK,0.877941979924872,21,0.875,48,IGD_NNRG,ES,FALSE
AT,2.09111130889044,16,0.6666666666666666,48,TOT_X_NRG,ES,FALSE
BE,2.17286015269566,14,0.5833333333333334,48,TOT_X_NRG,ES,FALSE
BG,3.14688577086988,10,0.4166666666666667,48,TOT_X_NRG,ES,FALSE
CZ,6.55176303815733,1,0.041666666666666664,48,TOT_X_NRG,ES,FALSE
DE,3.25356128194858,9,0.375,48,TOT_X_NRG,ES,FALSE
DK,2.0684560982561,17,0.7083333333333334,48,TOT_X_NRG,ES,FALSE
EE,1.33780127798275,20,0.8333333333333334,48,TOT_X_NRG,ES,FALSE
GR,0.876122299204741,23,0.9583333333333334,48,TOT_X_NRG,ES,FALSE
ES,4.43168683925963,5,0.20833333333333334,48,TOT_X_NRG,ES,FALSE
FI,2.68909635130603,11,0.4583333333333333,48,TOT_X_NRG,ES,FALSE
HR,5.21894881369329,4,0.16666666666666666,48,TOT_X_NRG,ES,FALSE
HU,3.93285965425765,7,0.2916666666666667,48,TOT_X_NRG,ES,FALSE
IE,1.42608527624786,19,0.7916666666666666,48,TOT_X_NRG,ES,FALSE
IT,2.61007069213744,12,0.5,48,TOT_X_NRG,ES,FALSE
LT,3.30533036256169,8,0.3333333333333333,48,TOT_X_NRG,ES,FALSE
LU,5.52240552357402,3,0.125,48,TOT_X_NRG,ES,FALSE
LV,2.28803082386899,13,0.5416666666666666,48,TOT_X_NRG,ES,FALSE
NL,0.80443032574198,24,1,48,TOT_X_NRG,ES,FALSE
NO,4.33680112401798,6,0.25,48,TOT_X_NRG,ES,FALSE
PL,0.942198882199367,22,0.9166666666666666,48,TOT_X_NRG,ES,FALSE
RO,5.85983918590109,2,0.08333333333333333,48,TOT_X_NRG,ES,FALSE
SE,1.95634789913621,18,0.75,48,TOT_X_NRG,ES,FALSE
SI,2.10757941960357,15,0.625,48,TOT_X_NRG,ES,FALSE
SK,1.29359066051164,21,0.875,48,TOT_X_NRG,ES,FALSE
AT,3.46736763881345,10,0.47619047619047616,72,DAA,ES,FALSE
BE,1.80803422816672,20,0.9523809523809523,72,DAA,ES,FALSE
CZ,4.74262776819664,8,0.38095238095238093,72,DAA,ES,FALSE
DE,42.1229232591581,7,0.3333333333333333,72,DAA,ES,FALSE
DK,4.36044862475763,9,0.42857142857142855,72,DAA,ES,FALSE
EE,19.0139608304572,17,0.8095238095238095,72,DAA,ES,FALSE
ES,16.8328759702186,18,0.8571428571428571,72,DAA,ES,FALSE
FI,3.34932822582241,12,0.5714285714285714,72,DAA,ES,FALSE
GR,3.12495398531047,13,0.6190476190476191,72,DAA,ES,FALSE
HU,2.16138363282856,16,0.7619047619047619,72,DAA,ES,FALSE
IT,2.55379257852018,15,0.7142857142857143,72,DAA,ES,FALSE
LT,8.74512757703431,1,0.047619047619047616,72,DAA,ES,FALSE
LU,42.7284279935139,6,0.2857142857142857,72,DAA,ES,FALSE
LV,10.2398409261906,19,0.9047619047619048,72,DAA,ES,FALSE
NL,2.73997314959259,14,0.6666666666666666,72,DAA,ES,FALSE
NO,3.45784090064867,11,0.5238095238095238,72,DAA,ES,FALSE
PL,7.61485104489244,2,0.09523809523809523,72,DAA,ES,FALSE
RO,0.454496726574284,21,1,72,DAA,ES,FALSE
SE,6.81104984962359,4,0.19047619047619047,72,DAA,ES,FALSE
SI,7.12089733899979,3,0.14285714285714285,72,DAA,ES,FALSE
SK,6.40564623679313,5,0.23809523809523808,72,DAA,ES,FALSE
AT,1.73195416391246,22,0.9166666666666666,72,CP00,ES,FALSE
BE,2.24344782281112,19,0.7916666666666666,72,CP00,ES,FALSE
BG,3.3911432579885,14,0.5833333333333334,72,CP00,ES,FALSE
CZ,6.19856335612963,6,0.25,72,CP00,ES,FALSE
DE,4.30707993372457,11,0.4583333333333333,72,CP00,ES,FALSE
DK,3.39615136615282,13,0.5416666666666666,72,CP00,ES,FALSE
EE,3.38867984107359,15,0.625,72,CP00,ES,FALSE
GR,1.99084328215723,21,0.875,72,CP00,ES,FALSE
ES,11.5370588137924,20,0.8333333333333334,72,CP00,ES,FALSE
FI,6.72887237077716,4,0.16666666666666666,72,CP00,ES,FALSE
HR,4.99129286826566,8,0.3333333333333333,72,CP00,ES,FALSE
HU,6.53849885521829,5,0.20833333333333334,72,CP00,ES,FALSE
IE,1.28296809590009,23,0.9583333333333334,72,CP00,ES,FALSE
IT,6.96479968676793,3,0.125,72,CP00,ES,FALSE
LT,2.360671254201,18,0.75,72,CP00,ES,FALSE
LU,8.24161339983574,2,0.08333333333333333,72,CP00,ES,FALSE
LV,9.05990405767162,1,0.041666666666666664,72,CP00,ES,FALSE
NL,3.61244923444962,12,0.5,72,CP00,ES,FALSE
NO,4.78988416789726,9,0.375,72,CP00,ES,FALSE
PL,0.733806712140235,24,1,72,CP00,ES,FALSE
RO,6.15441202449452,7,0.2916666666666667,72,CP00,ES,FALSE
SE,4.30743224251598,10,0.4166666666666667,72,CP00,ES,FALSE
SI,2.74654013843888,17,0.7083333333333334,72,CP00,ES,FALSE
SK,3.16042180364555,16,0.6666666666666666,72,CP00,ES,FALSE
AT,5.04026354262669,11,0.4583333333333333,72,GD,ES,FALSE
BE,2.65517707608667,19,0.7916666666666666,72,GD,ES,FALSE
BG,3.67992211713206,18,0.75,72,GD,ES,FALSE
CZ,7.70618053429872,5,0.20833333333333334,72,GD,ES,FALSE
DE,2.04989626097077,22,0.9166666666666666,72,GD,ES,FALSE
DK,4.71054262071679,14,0.5833333333333334,72,GD,ES,FALSE
EE,3.94800185726899,17,0.7083333333333334,72,GD,ES,FALSE
GR,5.83095856522563,9,0.375,72,GD,ES,FALSE
ES,8.74200995467942,1,0.041666666666666664,72,GD,ES,FALSE
FI,8.1133578576077,4,0.16666666666666666,72,GD,ES,FALSE
HR,4.77588330332492,13,0.5416666666666666,72,GD,ES,FALSE
HU,10.1057055296035,23,0.9583333333333334,72,GD,ES,FALSE
IE,1.65314422908078,24,1,72,GD,ES,FALSE
IT,5.33217715368265,10,0.4166666666666667,72,GD,ES,FALSE
LT,6.40912331545962,8,0.3333333333333333,72,GD,ES,FALSE
LU,8.56881773105305,3,0.125,72,GD,ES,FALSE
LV,7.61999993344114,7,0.2916666666666667,72,GD,ES,FALSE
NL,3.96501454446828,16,0.6666666666666666,72,GD,ES,FALSE
NO,4.41292221882093,15,0.625,72,GD,ES,FALSE
PL,8.58235282744592,2,0.08333333333333333,72,GD,ES,FALSE
RO,7.68870053192414,6,0.25,72,GD,ES,FALSE
SE,4.78787898311741,12,0.5,72,GD,ES,FALSE
SI,2.37153432250393,20,0.8333333333333334,72,GD,ES,FALSE
SK,2.16866649212716,21,0.875,72,GD,ES,FALSE
AT,0.981610050341999,23,0.9583333333333334,72,SERV,ES,FALSE
BE,2.46089919728029,13,0.5416666666666666,72,SERV,ES,FALSE
BG,1.19772684836603,20,0.8333333333333334,72,SERV,ES,FALSE
CZ,4.14492795597191,5,0.20833333333333334,72,SERV,ES,FALSE
DE,6.14316777220282,1,0.041666666666666664,72,SERV,ES,FALSE
DK,2.15744259536262,15,0.625,72,SERV,ES,FALSE
EE,2.73208344902229,12,0.5,72,SERV,ES,FALSE
GR,0.876385937962406,24,1,72,SERV,ES,FALSE
ES,3.32162856608559,10,0.4166666666666667,72,SERV,ES,FALSE
FI,3.54503495872561,8,0.3333333333333333,72,SERV,ES,FALSE
HR,5.40432178755107,3,0.125,72,SERV,ES,FALSE
HU,10.250520765975,16,0.6666666666666666,72,SERV,ES,FALSE
IE,4.09867854230388,7,0.2916666666666667,72,SERV,ES,FALSE
IT,4.88370615944408,4,0.16666666666666666,72,SERV,ES,FALSE
LT,1.0932661327827,21,0.875,72,SERV,ES,FALSE
LU,6.06399898905979,2,0.08333333333333333,72,SERV,ES,FALSE
LV,3.1720773940221,11,0.4583333333333333,72,SERV,ES,FALSE
NL,2.16204177886425,14,0.5833333333333334,72,SERV,ES,FALSE
NO,4.12797088100081,6,0.25,72,SERV,ES,FALSE
PL,1.85177947422316,17,0.7083333333333334,72,SERV,ES,FALSE
RO,1.59738245419827,19,0.7916666666666666,72,SERV,ES,FALSE
SE,3.44658440035688,9,0.375,72,SERV,ES,FALSE
SI,1.66995088557909,18,0.75,72,SERV,ES,FALSE
SK,1.00121290747077,22,0.9166666666666666,72,SERV,ES,FALSE
AT,4.04170962487977,10,0.4166666666666667,72,IGD,ES,FALSE
BE,2.29655748671224,17,0.7083333333333334,72,IGD,ES,FALSE
BG,2.68048928917251,14,0.5833333333333334,72,IGD,ES,FALSE
CZ,2.74965140181418,12,0.5,72,IGD,ES,FALSE
DE,2.62273647534316,15,0.625,72,IGD,ES,FALSE
DK,6.10324842810767,6,0.25,72,IGD,ES,FALSE
EE,6.06296576398962,7,0.2916666666666667,72,IGD,ES,FALSE
GR,4.90523288593147,8,0.3333333333333333,72,IGD,ES,FALSE
ES,8.60114754088649,1,0.041666666666666664,72,IGD,ES,FALSE
FI,6.81370260203793,4,0.16666666666666666,72,IGD,ES,FALSE
HR,2.72975242834284,13,0.5416666666666666,72,IGD,ES,FALSE
HU,10.1239498437004,19,0.7916666666666666,72,IGD,ES,FALSE
IE,1.18610782731971,21,0.875,72,IGD,ES,FALSE
